Plant No,1 st Year,2nd Year,3rd year,4th Year,5th Year,6th Year,7th Year,8th Year,9th Year,10th Year,11th Year
80,1.3,3.7,8.7,11.5,15.5,17,19,20.2,20.7,21.3,22
81,0.9,2.7,7.9,11.6,16,18.5,21.5,25.1,26.1,26.8,28.3
82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,0.6,3.7,8,11.1,14,16.5,19,20.4,21.5,22.7,23.2
84,1,4.5,8.8,11.6,15,17,19,20.4,21,22.2,22.6
85,1.6,3.2,7.3,11.6,14.5,18.1,19,20.1,20.5,21.3,22.9
86,1.9,6,11,15.2,17.7,21.5,27.1,29.3,31.2,32.1,32.5
87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,1.5,4.5,9.1,12.7,16,17.5,19.3,20.5,22,22.4,22.6
89,1.8,3.2,9,13.1,16,20.1,25.1,30.5,33.1,34.2,34.7
90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
